Tarifa del Impuesto Sobre la Renta
Límite inferior,Límite superior,Cuota fija,% Sobre excedentedel límite inferior
0.01,746.04,0.00,1.92
746.05,6332.05,14.32,6.40
6332.06,11128.01,371.83,10.88
11128.02,12935.82,893.63,16.00
12935.83,15487.71,1182.88,17.92
15487.72,31236.49,1640.18,21.36
31236.50,49233.00,5004.12,23.52
49233.01,93993.90,9236.89,30.00
93993.91,125325.20,22665.17,32.00
125325.21,375975.61,32691.18,34.00
375975.62,0.000.000.000.000.000.000.000.000.000.000.00,117912.32,35.00
