Límite inferior,Límite superior,Cuota fija,Por ciento para aplicarse sobre
,,,el excedente del límite inferior
$,$,$,%
0.01,171.78,0.00,1.92
171.79,"1,458.03",3.29,6.40
"1,458.04","2,562.35",85.61,10.88
"2,562.36","2,978.64",205.80,16.00
"2,978.65","3,566.22",272.37,17.92
"3,566.23","7,192.64",377.65,21.36
"7,192.65","11,336.57","1,152.27",23.52
"11,336.58","21,643.30","2,126.95",30.00
"21,643.31","28,857.78","5,218.92",32.00
"28,857.79","86,573.34","7,527.59",34.00
"86,573.35",En adelante,"27,150.83",35.00
